time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.12000000000000001,-0.0183907592591,0.00466963602671,9.94687954511,4.08766622284,2.33539925337,0.0,-0.33377128626,0.262386457843,-1.19670697199,-6.25813407594,9.76895710811,0.0,328.13458692,683.731074931,625.668262811,157.232157766
0.23999999999999996,-0.0367548070709,0.0762306224823,9.77466864333,1.62509372418,1.03219790795,0.0,0.0380711109126,0.564050701037,-1.64952762656,-12.3260267482,15.9642752075,0.0,369.278522936,713.485402923,690.438873278,117.11285876
0.36000000000000004,-0.141830063714,0.13012500686,9.48861801106,1.42497480558,3.69606690377,0.0,-1.22231331896,-0.202565995199,-3.20544754377,-14.4453707162,17.9463129125,0.0,340.614673417,659.949865643,619.074823535,167.851316285
0.48000000000000015,-0.180815961009,0.0543238350154,9.02810765859,0.919197979589,6.15492456643,0.0,0.425785971491,-0.390762649494,-4.20873046477,-15.5323273987,19.304515198,0.0,324.544389735,694.441389814,620.359484235,149.804995379
0.6000000000000002,-0.174678198008,0.0828565537196,8.52651432237,0.195512289614,2.57485835025,0.0,-0.630944799805,0.387924252956,-4.64530087534,-15.819996814,18.399891052,0.0,350.328133085,618.552471229,612.04822941,167.123126526
0.7200000000000003,-0.249820384285,0.122587933797,7.78655573187,6.2334982298,5.03042147647,0.0,-0.00302662507509,0.35545590586,-7.25107186954,-16.6291978468,18.7281799814,0.0,369.515663136,670.991965497,652.347791007,146.546672874
0.8400000000000004,-0.176555350506,0.152148733228,6.93412468163,6.12091799946,1.14994018615,0.0,0.510254811419,0.115724970616,-6.93046222389,-17.1642225308,19.4188940902,0.0,361.1020867,703.594017036,661.741365002,128.681006513
0.9600000000000005,-0.233492635399,0.169874285256,6.01480598527,6.20601287671,3.57834458432,0.0,-0.944583259645,0.22189960774,-8.8546302123,-17.6220982921,19.3968769728,0.0,368.122268432,691.871149168,675.78580805,121.693873922
1.0800000000000005,-0.249142857085,0.198751544287,4.82915143385,6.10344427692,6.06004861321,0.0,0.616812895039,0.223404168893,-10.2192709683,-17.5646299946,19.0997336539,0.0,372.999731354,676.186291052,667.765423305,155.283766115
1.2000000000000006,-0.210692926483,0.212087919917,3.61810321708,5.84826933019,2.40980507898,0.0,-0.366516031804,0.098897296814,-10.5382595411,-17.3278754399,18.4440182777,0.0,385.010857121,646.296748536,646.81106587,120.55182659
1.3200000000000007,-0.268369078918,0.260124036574,2.19736776556,5.3126341888,5.17009203836,0.0,0.0474610468894,0.523631483447,-12.8007891981,-16.8315879159,17.8175100298,0.0,402.77576904,629.203707246,641.019257888,203.733903179
1.4400000000000008,-0.206306971502,0.230557867407,0.618007979135,4.23754166793,1.36723242999,0.0,0.294212688696,-0.913584280583,-13.7796979002,-15.306676286,18.432508969,0.0,325.645204882,641.273372351,560.024474395,235.14302838
1.560000000000001,-0.272432678816,0.152307166156,0.0,3.06848160164,4.712587378,0.0,-0.62789797678,-0.415546953452,-14.5983788552,-14.7638778168,16.8964502842,0.0,407.518930401,566.790313192,588.031998707,280.866650992
